Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.00776e+07,411,66,66
1.02211e+07,1949,804,797
1.00628e+07,232,55,55
1.00812e+07,415,88,87
1.01265e+07,895,251,247
1.00427e+07,22,3,3
1.00594e+07,189,54,54
1.00508e+07,100,35,35
1.00488e+07,61,41,41
1.00725e+07,343,102,102
1.00424e+07,8,7,7
1.00474e+07,84,12,12
1.00426e+07,12,7,7
1.00542e+07,158,36,36
1.0053e+07,101,62,62
1.00609e+07,230,77,77
1.01485e+07,1157,418,405
1.00956e+07,574,154,153
1.01184e+07,822,325,315
1.00483e+07,74,21,21
1.00425e+07,14,7,7
1.01014e+07,628,179,173
1.00465e+07,61,12,12
1.00452e+07,62,6,6
1.02211e+07,1949,804,797
1.00542e+07,103,62,62
1.00426e+07,9,9,9
1.00534e+07,112,58,58
1.00658e+07,237,88,87
1.00741e+07,345,127,126
1.01005e+07,584,208,206
1.00431e+07,15,11,11
1.00451e+07,52,5,5
1.01212e+07,942,256,245
1.00504e+07,86,39,38
1.005e+07,99,31,31
1.00575e+07,160,51,51
1.00443e+07,40,5,5
1.00984e+07,593,226,226
1.00619e+07,233,44,44
1.0055e+07,145,37,37
1.00435e+07,32,7,7
1.00753e+07,391,69,60
1.00419e+07,6,4,4
1.00708e+07,321,96,96
1.02087e+07,1811,718,709
1.01205e+07,861,233,231
1.00422e+07,9,4,4
1.02211e+07,1949,804,797
1.00644e+07,258,79,77
1.00525e+07,147,3,3
1.00448e+07,47,8,8
1.01425e+07,1026,345,341
1.0099e+07,600,174,171
1.00446e+07,30,16,16
1.00577e+07,149,76,76
1.01006e+07,650,189,185
1.00434e+07,21,12,12
1.00465e+07,57,21,21
1.00521e+07,125,29,29
1.0046e+07,58,7,7
1.02211e+07,1949,804,797
1.0043e+07,18,6,6
1.00416e+07,3,3,3
1.00462e+07,50,20,20
1.00445e+07,39,5,5
1.00494e+07,84,31,31
1.00416e+07,5,2,2
1.00729e+07,355,89,89
1.01093e+07,696,275,266
1.01044e+07,676,241,235
