Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.34256e+06,7,7,7
1.342e+06,5,5,5
1.35056e+06,88,47,47
1.34346e+06,13,13,13
1.34158e+06,1,1,1
1.34261e+06,8,8,8
1.34172e+06,2,2,2
1.34284e+06,11,7,7
1.3457e+06,30,26,26
1.34804e+06,43,43,43
1.3443e+06,22,22,22
1.39038e+06,396,347,347
1.34279e+06,9,9,9
1.34183e+06,3,3,3
