Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.34327e+06,12,12,12
1.34245e+06,7,7,7
1.34303e+06,12,12,12
1.34536e+06,27,27,27
1.34158e+06,1,1,1
1.35512e+06,123,82,79
1.35785e+06,122,114,114
1.34159e+06,1,1,1
1.3424e+06,7,7,7
1.34291e+06,10,10,10
1.36108e+06,142,135,135
1.34158e+06,1,1,1
1.35259e+06,91,62,62
1.34229e+06,6,6,6
1.48058e+06,1167,1059,1058
1.34308e+06,13,11,11
1.34836e+06,50,46,46
1.34362e+06,20,9,9
1.36344e+06,192,133,133
1.34206e+06,4,4,4
1.34479e+06,25,22,22
1.34308e+06,10,10,10
1.34158e+06,1,1,1
1.38858e+06,405,372,372
1.34376e+06,19,12,11
1.34258e+06,7,7,7
1.34478e+06,30,17,17
1.34217e+06,5,5,5
1.34314e+06,13,10,10
1.35591e+06,122,98,98
1.34244e+06,6,6,6
1.35544e+06,102,102,102
1.35468e+06,99,78,78
1.34275e+06,12,5,5
1.34318e+06,13,13,13
1.3431e+06,11,11,11
1.34348e+06,13,13,13
1.34898e+06,54,51,51
1.34882e+06,57,50,50
1.34178e+06,3,3,3
1.3432e+06,11,11,11
1.34239e+06,7,7,7
1.34656e+06,49,37,37
1.34184e+06,3,3,3
1.34515e+06,29,23,23
1.34313e+06,12,11,11
1.34172e+06,2,2,2
1.34402e+06,25,9,9
1.34294e+06,10,10,10
1.35216e+06,90,76,75
1.34235e+06,6,6,6
1.35049e+06,70,70,70
1.34267e+06,11,5,5
1.36641e+06,196,174,174
1.34319e+06,15,10,10
1.34767e+06,45,45,45
1.34478e+06,29,24,24
1.41533e+06,600,512,512
1.34355e+06,15,15,15
1.34336e+06,13,12,12
1.34272e+06,9,9,9
1.34265e+06,7,7,7
1.34238e+06,7,7,7
1.3419e+06,3,3,3
1.36999e+06,237,215,215
1.34314e+06,12,11,11
1.342e+06,4,4,4
1.34322e+06,11,11,11
1.34272e+06,9,9,9
1.34189e+06,3,3,3
1.34336e+06,14,14,14
1.34432e+06,21,21,21
1.34724e+06,48,35,35
1.34398e+06,17,17,17
1.34205e+06,5,5,5
1.34228e+06,6,6,6
1.34296e+06,11,11,11
1.37457e+06,255,216,216
1.34313e+06,12,12,12
1.34591e+06,32,32,32
1.34158e+06,1,1,1
1.34227e+06,6,6,6
1.34237e+06,6,6,6
1.34454e+06,19,19,19
1.34328e+06,12,12,12
1.3431e+06,12,12,12
1.40306e+06,501,371,371
1.35284e+06,93,64,64
1.34157e+06,1,1,1
1.34619e+06,35,35,35
1.3418e+06,3,3,3
1.34502e+06,23,23,23
1.34389e+06,16,16,16
1.34218e+06,5,5,5
1.42118e+06,733,619,619
1.34518e+06,31,22,22
1.34283e+06,9,9,9
1.34158e+06,1,1,1
1.34224e+06,6,4,4
1.3789e+06,304,230,230
1.34619e+06,36,35,35
1.34272e+06,9,9,9
1.34493e+06,25,25,25
1.34158e+06,1,1,1
1.355e+06,96,91,91
1.34272e+06,11,11,11
1.3437e+06,17,17,17
1.3479e+06,52,43,43
1.37192e+06,244,161,161
1.34224e+06,6,6,6
1.34206e+06,5,5,5
1.36024e+06,150,131,131
1.34997e+06,71,52,52
1.3431e+06,11,9,9
1.34353e+06,17,14,14
1.34301e+06,9,9,9
1.36138e+06,177,121,121
1.34256e+06,8,8,8
1.34601e+06,33,30,30
1.34206e+06,4,4,4
1.34366e+06,17,16,16
1.34344e+06,15,15,15
1.43222e+06,759,656,654
1.3433e+06,13,13,13
1.34295e+06,12,9,9
1.34358e+06,18,12,12
1.34172e+06,2,2,2
1.34575e+06,27,27,27
1.34229e+06,6,6,6
1.34277e+06,13,8,8
1.35063e+06,66,64,64
1.37315e+06,274,213,213
1.3433e+06,16,11,11
1.34365e+06,16,16,16
1.34201e+06,4,4,4
1.34339e+06,14,14,14
1.35832e+06,158,71,71
1.3512e+06,81,68,68
1.34206e+06,5,3,3
