Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
4.5017e+07,24,10,10
4.50173e+07,29,10,10
4.56825e+07,5955,3102,3077
4.50166e+07,24,5,5
4.50751e+07,532,256,254
4.52212e+07,1920,791,774
4.50151e+07,6,6,6
4.50182e+07,23,22,22
4.50146e+07,1,1,1
4.5052e+07,304,177,177
4.50149e+07,3,3,3
4.50167e+07,20,15,15
4.50147e+07,2,2,2
4.51915e+07,1604,909,908
4.50176e+07,25,17,17
4.50354e+07,174,108,108
4.5576e+07,5210,2551,2538
4.50157e+07,8,8,8
4.50265e+07,111,46,46
4.50587e+07,393,191,191
4.50146e+07,1,1,1
4.50232e+07,68,46,46
4.50182e+07,28,20,20
4.5016e+07,9,9,9
4.52006e+07,1558,779,778
4.50146e+07,1,1,1
4.51225e+07,1047,421,421
4.50146e+07,1,1,1
4.50209e+07,62,26,26
4.50148e+07,3,3,3
4.50181e+07,33,10,10
4.50145e+07,1,1,1
4.50375e+07,186,130,130
4.50305e+07,126,65,65
4.53745e+07,3372,1693,1687
4.50148e+07,3,2,2
4.50146e+07,1,1,1
4.50154e+07,9,6,6
4.50208e+07,50,32,32
4.50161e+07,13,11,11
4.58175e+07,7617,3607,3498
4.5017e+07,24,10,10
4.53994e+07,3589,1902,1902
4.50153e+07,8,7,7
4.50147e+07,2,2,2
4.50197e+07,45,23,23
4.50146e+07,2,2,2
4.51009e+07,755,343,343
4.50146e+07,1,1,1
4.50207e+07,64,23,23
4.50146e+07,2,2,2
4.5037e+07,190,86,86
4.50931e+07,1031,50,50
4.529e+07,2690,1021,998
4.51614e+07,1756,6,6
4.50179e+07,22,20,20
4.50377e+07,217,63,63
4.50196e+07,48,19,19
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50879e+07,657,318,318
4.50147e+07,2,2,2
4.50149e+07,4,4,4
4.5017e+07,17,13,13
4.50154e+07,14,2,2
4.50165e+07,18,10,10
4.50202e+07,59,21,21
4.50145e+07,1,1,1
4.50459e+07,281,132,132
4.50957e+07,702,346,346
4.50341e+07,194,66,66
4.50145e+07,1,1,1
4.50248e+07,80,44,44
4.50171e+07,28,11,11
4.50195e+07,36,26,26
4.54714e+07,4128,1925,1920
4.50146e+07,2,2,2
4.51024e+07,772,367,366
4.50149e+07,4,4,4
4.5424e+07,3723,1742,1739
4.50235e+07,94,28,28
4.5015e+07,4,4,4
4.51905e+07,1524,841,841
4.52708e+07,2389,1231,1230
4.50228e+07,71,35,35
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50162e+07,11,10,10
4.50412e+07,297,66,63
4.50323e+07,151,58,58
4.50166e+07,15,12,12
4.50147e+07,2,2,2
4.50188e+07,33,24,24
4.51238e+07,983,371,370
4.54633e+07,4134,2155,2152
4.51702e+07,1359,603,592
4.50641e+07,404,215,215
4.52274e+07,1804,966,966
4.50146e+07,1,1,1
4.51468e+07,1126,571,571
4.5064e+07,477,160,160
4.50168e+07,16,16,16
4.5015e+07,6,3,3
4.50145e+07,1,1,1
4.50562e+07,420,124,124
4.50381e+07,204,77,77
4.50156e+07,9,8,8
4.51616e+07,1277,730,730
4.50145e+07,1,1,1
4.50151e+07,5,5,5
4.50145e+07,1,1,1
4.50218e+07,54,40,40
4.50145e+07,1,1,1
4.50341e+07,165,102,102
4.50146e+07,2,2,2
4.5015e+07,4,4,4
4.5015e+07,8,2,2
4.50375e+07,196,99,99
