Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.261e+07,239,143,143
1.25821e+07,6,5,5
1.25876e+07,64,28,28
1.26143e+07,282,168,168
1.25931e+07,117,43,43
1.26178e+07,326,216,216
1.25826e+07,13,6,6
1.25884e+07,59,33,33
1.25843e+07,40,4,4
1.25883e+07,84,15,15
1.2595e+07,127,40,39
1.25845e+07,26,14,14
1.26246e+07,392,171,169
1.25912e+07,75,53,53
1.25838e+07,23,8,8
1.25815e+07,2,2,2
1.2583e+07,16,9,9
1.25824e+07,7,7,7
1.25999e+07,196,61,60
1.26791e+07,908,480,476
1.25826e+07,13,5,5
1.25859e+07,42,20,20
1.25881e+07,65,22,22
1.25836e+07,25,6,6
1.2635e+07,510,188,187
1.25821e+07,9,4,4
1.25874e+07,56,18,18
1.25878e+07,59,30,30
1.2587e+07,56,17,17
1.2584e+07,28,8,8
1.25825e+07,14,4,4
1.2584e+07,27,13,13
1.25896e+07,103,16,15
1.25839e+07,25,9,9
1.25892e+07,65,32,32
1.2586e+07,53,14,14
1.26003e+07,157,82,82
1.25835e+07,17,12,12
1.25916e+07,88,41,41
1.25836e+07,21,9,9
1.25834e+07,19,7,7
1.25871e+07,56,22,22
1.25946e+07,132,50,50
1.25825e+07,11,5,5
1.26473e+07,566,342,342
1.25832e+07,16,9,9
1.26001e+07,200,62,62
1.25818e+07,4,4,4
1.26047e+07,220,106,106
1.26364e+07,479,240,240
1.26463e+07,560,295,294
1.25976e+07,156,65,65
1.25889e+07,84,8,8
1.26009e+07,137,100,100
1.25834e+07,16,10,10
1.25916e+07,94,39,39
1.25835e+07,24,7,7
1.25849e+07,28,20,20
1.26173e+07,389,144,144
1.25901e+07,81,38,38
1.25849e+07,37,12,12
1.2591e+07,106,32,32
1.25834e+07,33,2,2
1.25817e+07,4,3,3
1.26006e+07,180,87,87
1.25853e+07,39,11,11
1.26714e+07,817,418,414
1.26125e+07,287,125,125
1.25878e+07,50,30,30
1.2584e+07,20,15,15
1.25896e+07,74,45,45
1.25829e+07,14,10,10
1.2631e+07,489,225,223
1.25854e+07,42,12,12
1.2587e+07,60,15,15
1.26053e+07,264,91,91
1.25829e+07,16,7,7
1.25855e+07,40,16,16
1.25892e+07,85,29,29
1.25871e+07,56,27,27
1.25855e+07,38,18,18
1.2585e+07,28,22,22
1.25828e+07,11,8,8
1.26052e+07,207,91,91
1.25836e+07,32,5,5
1.25863e+07,45,19,19
1.2583e+07,17,7,7
1.26336e+07,470,197,193
1.25869e+07,51,23,23
1.26091e+07,261,116,116
1.25857e+07,49,12,12
1.25861e+07,62,2,2
1.25827e+07,9,8,8
1.2598e+07,157,60,60
1.25874e+07,52,25,25
1.25975e+07,146,52,52
1.25833e+07,15,12,12
1.25845e+07,30,13,13
1.2584e+07,21,13,13
1.25833e+07,13,11,11
1.25968e+07,152,62,62
1.25842e+07,33,9,9
1.26172e+07,313,152,151
1.25822e+07,8,5,5
1.25842e+07,36,5,5
1.25891e+07,87,15,14
1.25844e+07,33,9,9
1.25896e+07,84,26,26
1.25821e+07,8,5,5
1.25934e+07,121,48,48
1.26006e+07,184,84,84
1.2588e+07,59,23,23
1.25966e+07,145,70,70
1.25823e+07,12,3,3
1.25823e+07,11,5,5
1.2586e+07,63,5,5
1.25827e+07,15,5,5
1.25948e+07,117,56,56
1.25944e+07,113,39,39
1.25851e+07,39,9,9
1.25826e+07,12,5,5
1.25906e+07,87,26,26
1.2584e+07,21,13,13
1.25824e+07,8,8,8
1.25862e+07,32,30,30
1.25962e+07,142,62,62
1.25815e+07,2,2,2
1.25896e+07,79,26,26
1.26069e+07,219,129,129
1.25828e+07,17,5,5
1.25833e+07,18,9,9
1.25827e+07,10,7,7
1.26057e+07,232,84,84
1.27612e+07,1715,1046,1046
1.25984e+07,156,88,88
1.25874e+07,65,23,23
1.25813e+07,1,1,1
1.26114e+07,336,81,74
1.25819e+07,5,5,5
1.26014e+07,205,58,54
1.25849e+07,34,14,14
1.25841e+07,22,10,10
1.25971e+07,154,56,56
1.25883e+07,72,20,20
1.2582e+07,6,6,6
1.2595e+07,114,58,58
1.26583e+07,821,239,234
1.25826e+07,9,8,8
1.25872e+07,79,4,4
1.26147e+07,273,161,161
1.25953e+07,114,61,61
1.26765e+07,906,514,512
1.26483e+07,699,263,260
1.25912e+07,82,45,45
1.26258e+07,521,103,101
1.25999e+07,152,95,95
1.25822e+07,11,3,3
1.26496e+07,627,229,229
1.25939e+07,114,52,52
1.25886e+07,68,23,23
1.25841e+07,33,4,4
1.25914e+07,93,39,39
1.25834e+07,18,13,13
1.25924e+07,114,31,31
1.25824e+07,12,5,5
1.26031e+07,167,94,94
1.25827e+07,11,7,7
1.26027e+07,207,88,88
1.25926e+07,116,49,47
1.26217e+07,376,150,150
1.2589e+07,75,21,21
1.27121e+07,1176,661,660
1.25998e+07,171,85,85
1.25898e+07,70,41,41
1.26348e+07,487,261,261
1.25886e+07,62,29,29
1.2584e+07,24,12,12
1.25834e+07,23,9,9
1.26134e+07,274,147,147
1.25836e+07,19,13,13
1.25874e+07,55,27,27
1.25942e+07,117,44,44
1.26442e+07,558,322,322
1.25819e+07,7,3,3
1.25872e+07,51,30,30
1.25861e+07,38,20,20
1.2583e+07,18,7,7
1.25853e+07,38,15,15
1.25912e+07,86,46,46
1.25833e+07,15,9,9
1.25826e+07,14,5,5
1.26241e+07,392,198,197
1.26063e+07,263,74,74
1.25849e+07,38,10,10
1.25815e+07,3,2,2
1.25831e+07,17,9,9
1.25868e+07,43,23,23
1.26093e+07,312,50,43
1.25831e+07,19,6,6
1.25854e+07,47,13,13
1.2591e+07,94,39,39
1.26164e+07,309,153,151
1.25821e+07,7,5,5
1.25927e+07,122,41,41
1.25817e+07,4,3,3
1.2582e+07,8,3,3
1.25828e+07,14,8,8
1.25856e+07,45,16,16
1.26039e+07,200,92,92
1.25832e+07,25,5,5
1.26145e+07,331,107,105
1.2586e+07,54,15,15
1.25905e+07,73,45,45
1.2582e+07,8,3,3
1.25904e+07,74,29,29
1.25832e+07,15,8,8
1.25845e+07,34,12,12
1.25882e+07,68,30,30
1.26047e+07,227,95,95
1.26851e+07,955,607,606
1.26002e+07,188,55,53
1.25892e+07,70,35,35
1.25836e+07,26,5,5
1.26437e+07,801,86,85
1.26046e+07,210,86,86
1.2679e+07,859,570,570
1.25865e+07,41,26,26
1.26823e+07,914,528,527
1.25855e+07,33,17,17
1.25829e+07,15,9,9
1.25821e+07,8,5,5
1.25829e+07,13,11,11
1.25884e+07,75,17,17
1.2622e+07,386,190,190
1.25863e+07,54,18,15
1.25899e+07,79,32,32
1.25871e+07,61,24,24
1.26065e+07,241,127,127
1.25961e+07,130,63,63
1.25986e+07,159,62,62
1.25828e+07,13,7,7
1.25837e+07,18,14,14
1.26804e+07,940,443,443
1.25833e+07,19,6,6
1.25888e+07,93,19,19
1.26024e+07,194,62,62
1.25825e+07,11,9,9
1.25846e+07,30,19,19
1.25852e+07,30,22,22
1.25841e+07,28,12,12
1.25863e+07,67,5,5
1.26424e+07,584,329,328
1.25907e+07,82,33,33
1.26139e+07,338,113,112
1.25992e+07,157,84,84
1.25841e+07,23,12,12
1.25873e+07,51,21,21
1.25827e+07,22,2,2
1.25826e+07,12,8,8
1.25862e+07,44,19,19
1.25835e+07,24,6,6
1.25827e+07,10,8,8
1.25995e+07,174,60,60
1.26005e+07,180,67,67
1.25904e+07,87,32,32
1.25908e+07,73,44,44
1.25944e+07,128,36,36
1.25831e+07,15,9,9
1.26089e+07,275,106,106
1.25879e+07,56,22,22
1.25878e+07,59,25,25
1.25816e+07,3,3,3
1.26135e+07,279,168,168
1.25834e+07,16,15,15
1.25839e+07,23,10,10
1.25823e+07,8,7,7
1.26333e+07,552,180,176
1.2585e+07,35,18,18
1.26021e+07,183,74,74
1.25829e+07,16,6,6
1.25831e+07,17,11,11
1.25817e+07,4,4,4
1.25836e+07,20,15,15
1.25856e+07,46,9,9
1.25849e+07,52,2,2
1.26068e+07,243,109,107
1.25828e+07,16,7,7
1.25837e+07,18,15,15
1.25899e+07,72,42,42
1.25821e+07,8,5,5
1.25875e+07,59,26,26
1.25827e+07,9,8,8
1.25862e+07,37,25,25
1.25951e+07,152,35,35
1.25877e+07,53,30,30
1.25852e+07,54,3,3
1.25835e+07,28,8,8
